E+Version,Climate,System,Parametric,Heating [kBtu],Cooling [kBtu],Fan [kBtu],Heat [kWh],Cool [kWh],Fan [kWh],U,SHGC,Run
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00001Table.csv,24971,14406,3368,7316.61,4221.03,986.7,0.1,0.1,1
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00002Table.csv,23449,16518,3867,6870.68,4839.71,1133.11,0.1,0.25,2
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00003Table.csv,22264,18593,4366,6523.36,5447.7,1279.16,0.1,0.4,3
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00004Table.csv,21280,20746,4889,6235.11,6078.66,1432.36,0.1,0.55,4
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00005Table.csv,20495,22843,5404,6005.09,6692.96,1583.38,0.1,0.7,5
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00006Table.csv,19856,24939,5925,5817.93,7306.99,1735.98,0.1,0.85,6
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00007Table.csv,27944,14429,3458,8187.62,4227.82,1013.07,0.3,0.1,7
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00008Table.csv,26328,16536,3971,7714.07,4845.05,1163.36,0.3,0.25,8
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00009Table.csv,25076,18554,4460,7347.36,5436.4,1306.91,0.3,0.4,9
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00010Table.csv,24042,20570,4958,7044.17,6026.96,1452.68,0.3,0.55,10
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00011Table.csv,23185,22617,5465,6793.06,6626.68,1601.23,0.3,0.7,11
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00012Table.csv,22475,24654,5975,6585.18,7223.66,1750.53,0.3,0.85,12
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00013Table.csv,30455,14464,3542,8923.45,4237.96,1037.87,0.5,0.1,13
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00014Table.csv,28780,16559,4051,8432.5,4851.69,1186.98,0.5,0.25,14
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00015Table.csv,27484,18512,4538,8052.93,5424.09,1329.6,0.5,0.4,15
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00016Table.csv,26393,20480,5028,7733.25,6000.7,1473.07,0.5,0.55,16
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00017Table.csv,25482,22476,5525,7466.31,6585.54,1618.85,0.5,0.7,17
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00018Table.csv,24723,24454,6023,7243.84,7164.95,1764.66,0.5,0.85,18
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00019Table.csv,32543,14597,3639,9535.01,4276.79,1066.19,0.7,0.1,19
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00020Table.csv,30707,16818,4186,8997.17,4927.77,1226.45,0.7,0.25,20
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00021Table.csv,29332,18861,4690,8594.14,5526.17,1374.16,0.7,0.4,21
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00022Table.csv,28246,20784,5178,8276,6089.66,1517.16,0.7,0.55,22
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00023Table.csv,27342,22709,5660,8011.08,6653.72,1658.36,0.7,0.7,23
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00024Table.csv,26595,24587,6134,7792.29,7204.03,1797.17,0.7,0.85,24
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00025Table.csv,34370,14721,3719,10070.27,4313.39,1089.78,0.9,0.1,25
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00026Table.csv,32372,17083,4314,9484.91,5005.26,1264.09,0.9,0.25,26
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00027Table.csv,30916,19218,4846,9058.26,5630.77,1420,0.9,0.4,27
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00028Table.csv,29830,21133,5324,8740.21,6192.03,1559.84,0.9,0.55,28
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00029Table.csv,28951,22955,5779,8482.63,6725.93,1693.18,0.9,0.7,29
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00030Table.csv,28235,24702,6229,8272.81,7237.77,1824.96,0.9,0.85,30
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00031Table.csv,35404,14812,3775,10373.5,4339.94,1106.05,1.1,0.1,31
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00032Table.csv,33349,17209,4384,9771.13,5042.2,1284.47,1.1,0.25,32
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00033Table.csv,31875,19360,4922,9339.3,5672.49,1442.28,1.1,0.4,33
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00034Table.csv,30791,21230,5390,9021.8,6220.35,1579.36,1.1,0.55,34
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00035Table.csv,29925,22992,5829,8767.92,6736.52,1707.99,1.1,0.7,35
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00036Table.csv,29218,24668,6260,8560.73,7227.71,1834.31,1.1,0.85,36
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00001Table.csv,17022.38,11937.8,2594.87,4987.56,3497.8,760.29691,0.1,0.1,1
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00002Table.csv,15498.63,14117.1,3077.9,4541.1,4136.3,901.8247,0.1,0.25,2
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00003Table.csv,14390.2,16282.25,3569.42,4216.33,4770.7,1045.84006,0.1,0.4,3
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00004Table.csv,13538.9,18516.76,4093.38,3966.9,5425.4,1199.36034,0.1,0.55,4
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00005Table.csv,12899.79,20705.01,4615.86,3779.64,6066.6,1352.44698,0.1,0.7,5
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00006Table.csv,12400.32,22893.64,5137.05,3633.29,6707.8,1505.15565,0.1,0.85,6
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00007Table.csv,19994.88,11950.99,2690.41,5858.5,3501.6,788.29013,0.3,0.1,7
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00008Table.csv,18336.65,14126.91,3178.68,5372.64,4139.2,931.35324,0.3,0.25,8
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00009Table.csv,17123.22,16217.83,3667.63,5017.1,4751.8,1074.61559,0.3,0.4,9
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00010Table.csv,16182.38,18312.87,4166.67,4741.44,5365.7,1220.83431,0.3,0.55,10
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00011Table.csv,15445.34,20427.55,4676.56,4525.48,5985.3,1370.23208,0.3,0.7,11
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00012Table.csv,14863.77,22553.81,5188.26,4355.08,6608.3,1520.16018,0.3,0.85,12
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00013Table.csv,22528.78,12009.8,2775.48,6600.93,3518.9,813.21564,0.5,0.1,13
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00014Table.csv,20783.19,14126.91,3266.76,6089.47,4139.2,957.16068,0.5,0.25,14
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00015Table.csv,19500.17,16151.44,3746.75,5713.55,4732.4,1097.79775,0.5,0.4,15
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00016Table.csv,18473.52,18190.8,4236.83,5412.74,5329.9,1241.39119,0.5,0.55,16
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00017Table.csv,17662.09,20264.21,4733.64,5174.99,5937.4,1386.95652,0.5,0.7,17
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00018Table.csv,17015.87,22318.46,5239.18,4985.65,6539.3,1535.07974,0.5,0.85,18
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00019Table.csv,24642.78,12144.78,2872.08,7220.33,3558.4,841.51944,0.7,0.1,19
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00020Table.csv,22722.35,14402.45,3405,6657.65,4219.9,997.665,0.7,0.25,20
