E+Version,Climate,System,Parametric,Heating [kBtu],Cooling [kBtu],Fan [kBtu],Heat [kWh],Cool [kWh],Fan [kWh],U,SHGC,Run
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00033Table.csv,24041.80,16753.31,4080.38,7044.25,4908.7,1195.55134,1.1,0.4,33
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00034Table.csv,22846.23,18990.84,4624.63,6693.95,5564.3,1355.01659,1.1,0.55,34
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00035Table.csv,22041.82,20802.23,5066.57,6458.25,6095.1,1484.50501,1.1,0.7,35
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00036Table.csv,21346.01,22748.92,5545.59,6254.38,6665.4,1624.85787,1.1,0.85,36
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00001Table.csv,13070.64,10333.43,2228.02,3829.70,3027.7,652.80986,0.1,0.1,1
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00002Table.csv,11612.91,12477.29,2684.68,3402.58,3655.8,786.61124,0.1,0.25,2
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00003Table.csv,10851.73,14049.62,3059.58,3179.56,4116.5,896.45694,0.1,0.4,3
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00004Table.csv,10127.13,16102.92,3534.10,2967.25,4718.2,1035.4913,0.1,0.55,4
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00005Table.csv,9464.37,18778.48,4151.12,2773.06,5502.1,1216.27816,0.1,0.7,5
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00006Table.csv,8945.29,21850.30,4881.19,2620.97,6402.1,1430.18867,0.1,0.85,6
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00007Table.csv,16003.13,10332.08,2317.21,4688.92,3027.3,678.94253,0.3,0.1,7
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00008Table.csv,14364.56,12445.94,2786.15,4208.82,3646.7,816.34195,0.3,0.25,8
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00009Table.csv,13506.44,13948.85,3148.16,3957.39,4087.0,922.41088,0.3,0.4,9
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00010Table.csv,12641.48,15977.84,3627.19,3703.95,4681.5,1062.76667,0.3,0.55,10
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00011Table.csv,11850.63,18566.34,4229.88,3472.23,5439.9,1239.35484,0.3,0.7,11
