E+Version,Climate,System,Parametric,Heating [kBtuh],Cooling [kBtuh],Fan [kBtuh],Heat [kW],Cool [kW],Fan [kW],U,SHGC,Run
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00001Table.csv,30,0,3,8.79,0,0.91,0.1,0.1,1
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00002Table.csv,30,0,1,8.79,0,0.43,0.1,0.25,2
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00003Table.csv,30,0,2,8.79,0,0.48,0.1,0.4,3
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00004Table.csv,30,0,2,8.79,0,0.54,0.1,0.55,4
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00005Table.csv,30,0,2,8.79,0,0.59,0.1,0.7,5
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00006Table.csv,30,0,2,8.79,0,0.64,0.1,0.85,6
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00007Table.csv,32,0,1,9.41,0,0.39,0.3,0.1,7
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00008Table.csv,32,0,0,9.41,0,0,0.3,0.25,8
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00009Table.csv,32,0,2,9.41,0,0.49,0.3,0.4,9
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00010Table.csv,32,0,2,9.41,0,0.54,0.3,0.55,10
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00011Table.csv,32,0,2,9.41,0,0.59,0.3,0.7,11
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00012Table.csv,32,0,2,9.41,0,0.65,0.3,0.85,12
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00013Table.csv,34,0,1,9.93,0,0.4,0.5,0.1,13
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00014Table.csv,34,0,2,9.93,0,0.45,0.5,0.25,14
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00015Table.csv,34,0,2,9.93,0,0.5,0.5,0.4,15
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00016Table.csv,34,0,2,9.93,0,0.55,0.5,0.55,16
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00017Table.csv,34,0,2,9.93,0,0.6,0.5,0.7,17
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00018Table.csv,34,0,2,9.93,0,0.65,0.5,0.85,18
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00019Table.csv,35,0,1,10.37,0,0.41,0.7,0.1,19
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00020Table.csv,35,0,2,10.37,0,0.47,0.7,0.25,20
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00021Table.csv,35,0,2,10.37,0,0.52,0.7,0.4,21
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00022Table.csv,35,0,2,10.37,0,0.57,0.7,0.55,22
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00023Table.csv,35,0,2,10.37,0,0.62,0.7,0.7,23
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00024Table.csv,35,0,2,10.37,0,0.67,0.7,0.85,24
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00025Table.csv,37,0,1,10.76,0,0.42,0.9,0.1,25
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00026Table.csv,37,0,2,10.76,0,0.48,0.9,0.25,26
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00027Table.csv,37,0,2,10.76,0,0.54,0.9,0.4,27
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00028Table.csv,37,0,2,10.76,0,0.59,0.9,0.55,28
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00029Table.csv,37,0,2,10.76,0,0.63,0.9,0.7,29
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00030Table.csv,37,0,2,10.76,0,0.68,0.9,0.85,30
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00031Table.csv,37,0,1,10.98,0,0.42,1.1,0.1,31
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00032Table.csv,37,0,2,10.98,0,0.49,1.1,0.25,32
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00033Table.csv,37,0,2,10.98,0,0.55,1.1,0.4,33
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00034Table.csv,37,0,2,10.98,0,0.6,1.1,0.55,34
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00035Table.csv,37,0,2,10.98,0,0.64,1.1,0.7,35
9.5,2A,Elec,HOU+elecres+slab+IECC_1990_para00036Table.csv,37,0,2,10.98,0,0.68,1.1,0.85,36
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00001Table.csv,23.38,0,3.12,6.85,0,0.91416,0.1,0.1,1
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00002Table.csv,23.38,0,1.17,6.85,0,0.34281,0.1,0.25,2
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00003Table.csv,23.38,0,1.35,6.85,0,0.39555,0.1,0.4,3
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00004Table.csv,23.38,0,1.53,6.85,0,0.44829,0.1,0.55,4
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00005Table.csv,23.38,0,1.71,6.85,0,0.50103,0.1,0.7,5
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00006Table.csv,23.38,0,1.89,6.85,0,0.55377,0.1,0.85,6
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00007Table.csv,25.55,0,1.03,7.49,0,0.30179,0.3,0.1,7
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00008Table.csv,25.55,0,0,7.49,0,0,0.3,0.25,8
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00009Table.csv,25.56,0,1.39,7.49,0,0.40727,0.3,0.4,9
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00010Table.csv,25.56,0,1.57,7.49,0,0.46001,0.3,0.55,10
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00011Table.csv,25.56,0,1.74,7.49,0,0.50982,0.3,0.7,11
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00012Table.csv,25.56,0,1.92,7.49,0,0.56256,0.3,0.85,12
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00013Table.csv,27.39,0,1.06,8.03,0,0.31058,0.5,0.1,13
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00014Table.csv,27.39,0,1.25,8.03,0,0.36625,0.5,0.25,14
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00015Table.csv,27.39,0,1.42,8.03,0,0.41606,0.5,0.4,15
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00016Table.csv,27.39,0,1.6,8.03,0,0.4688,0.5,0.55,16
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00017Table.csv,27.39,0,1.77,8.03,0,0.51861,0.5,0.7,17
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00018Table.csv,27.39,0,1.95,8.03,0,0.57135,0.5,0.85,18
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00019Table.csv,28.96,0,1.1,8.49,0,0.3223,0.7,0.1,19
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00020Table.csv,28.96,0,1.3,8.49,0,0.3809,0.7,0.25,20
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00021Table.csv,28.96,0,1.49,8.49,0,0.43657,0.7,0.4,21
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00022Table.csv,28.28,0,1.62,8.29,0,0.47466,0.7,0.55,22
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00023Table.csv,28.96,0,1.83,8.49,0,0.53619,0.7,0.7,23
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00024Table.csv,28.96,0,1.99,8.49,0,0.58307,0.7,0.85,24
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00025Table.csv,30.32,0,1.13,8.88,0,0.33109,0.9,0.1,25
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00026Table.csv,30.32,0,1.35,8.88,0,0.39555,0.9,0.25,26
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00027Table.csv,30.32,0,1.55,8.88,0,0.45415,0.9,0.4,27
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00028Table.csv,29.79,0,1.69,8.73,0,0.49517,0.9,0.55,28
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00029Table.csv,30.32,0,1.88,8.88,0,0.55084,0.9,0.7,29
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00030Table.csv,30.32,0,2.03,8.88,0,0.59479,0.9,0.85,30
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00031Table.csv,31.1,0,1.16,9.11,0,0.33988,1.1,0.1,31
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00032Table.csv,31.1,0,1.38,9.11,0,0.40434,1.1,0.25,32
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00033Table.csv,31.1,0,1.58,9.11,0,0.46294,1.1,0.4,33
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00034Table.csv,30.67,0,1.72,8.99,0,0.50396,1.1,0.55,34
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00035Table.csv,31.1,0,1.9,9.11,0,0.5567,1.1,0.7,35
9.5,2A,Elec,HOU+elecres+slab+IECC_2006_para00036Table.csv,31.1,0,2.04,9.11,0,0.59772,1.1,0.85,36
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00001Table.csv,19.54,0,3.11,5.73,0,0.91123,0.1,0.1,1
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00002Table.csv,19.54,0,1.06,5.73,0,0.31058,0.1,0.25,2
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00003Table.csv,19.54,0,1.24,5.73,0,0.36332,0.1,0.4,3
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00004Table.csv,19.54,0,1.42,5.73,0,0.41606,0.1,0.55,4
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00005Table.csv,19.54,0,1.6,5.73,0,0.4688,0.1,0.7,5
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00006Table.csv,19.21,0,1.75,5.63,0,0.51275,0.1,0.85,6
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00007Table.csv,21.72,0,0.92,6.36,0,0.26956,0.3,0.1,7
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00008Table.csv,21.72,0,0,6.36,0,0,0.3,0.25,8
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00009Table.csv,21.72,0,1.28,6.36,0,0.37504,0.3,0.4,9
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00010Table.csv,21.73,0,1.46,6.37,0,0.42778,0.3,0.55,10
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00011Table.csv,21.73,0,1.64,6.37,0,0.48052,0.3,0.7,11
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00012Table.csv,21.73,0,1.81,6.37,0,0.53033,0.3,0.85,12
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00013Table.csv,23.56,0,0.95,6.9,0,0.27835,0.5,0.1,13
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00014Table.csv,23.56,0,1.14,6.9,0,0.33402,0.5,0.25,14
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00015Table.csv,23.56,0,1.32,6.9,0,0.38676,0.5,0.4,15
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00016Table.csv,23.57,0,1.49,6.91,0,0.43657,0.5,0.55,16
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00017Table.csv,23.57,0,1.66,6.91,0,0.48638,0.5,0.7,17
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00018Table.csv,23.57,0,1.84,6.91,0,0.53912,0.5,0.85,18
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00019Table.csv,25.14,0,0.99,7.37,0,0.29007,0.7,0.1,19
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00020Table.csv,25.14,0,1.19,7.37,0,0.34867,0.7,0.25,20
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00021Table.csv,25.14,0,1.38,7.37,0,0.40434,0.7,0.4,21
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00022Table.csv,25.14,0,1.55,7.37,0,0.45415,0.7,0.55,22
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00023Table.csv,25.14,0,1.72,7.37,0,0.50396,0.7,0.7,23
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00024Table.csv,25.14,0,1.88,7.37,0,0.55084,0.7,0.85,24
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00025Table.csv,26.5,0,1.03,7.76,0,0.30179,0.9,0.1,25
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00026Table.csv,26.5,0,1.25,7.76,0,0.36625,0.9,0.25,26
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00027Table.csv,26.5,0,1.44,7.76,0,0.42192,0.9,0.4,27
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00028Table.csv,26.5,0,1.61,7.76,0,0.47173,0.9,0.55,28
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00029Table.csv,26.5,0,1.77,7.76,0,0.51861,0.9,0.7,29
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00030Table.csv,26.5,0,1.92,7.76,0,0.56256,0.9,0.85,30
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00031Table.csv,27.29,0,1.05,8,0,0.30765,1.1,0.1,31
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00032Table.csv,27.29,0,1.28,8,0,0.37504,1.1,0.25,32
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00033Table.csv,27.29,0,1.47,8,0,0.43071,1.1,0.4,33
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00034Table.csv,27.29,0,1.64,8,0,0.48052,1.1,0.55,34
9.5,2A,Elec,HOU+elecres+slab+IECC_2018_para00035Table.csv,27.29,0,1.79,8,0,0.52447,1.1,0.7,35
