Run,Climate,System,Parametric,Heating [kBtuh]_92,Cooling [kBtuh]_92,Fan [kBtuh]_92,Heat [kW]_92,Cool [kW]_92,Fan [kW]_92,Demand [kW]_92,Heating [kBtuh]_95,Cooling [kBtuh]_95,Fan [kBtuh]_95,Heat [kW]_95,Cool [kW]_95,Fan [kW]_95,Demand [kW]_95,U,SHGC,Demand%Diff
1,2A,Elec,HOU+elecres+slab+IECC_1990_para00001Table.csv,30,0,3,8.79,0,0.91,9.7,30,0,3,8.79,0,0.91,9.7,0.1,0.1,0
2,2A,Elec,HOU+elecres+slab+IECC_1990_para00002Table.csv,30,0,1,8.79,0,0.42,9.21,30,0,1,8.79,0,0.43,9.22,0.1,0.25,0.108577633
3,2A,Elec,HOU+elecres+slab+IECC_1990_para00003Table.csv,30,0,2,8.79,0,0.47,9.26,30,0,2,8.79,0,0.48,9.27,0.1,0.4,0.107991361
4,2A,Elec,HOU+elecres+slab+IECC_1990_para00004Table.csv,30,0,2,8.79,0,0.52,9.31,30,0,2,8.79,0,0.54,9.33,0.1,0.55,0.214822771
5,2A,Elec,HOU+elecres+slab+IECC_1990_para00005Table.csv,30,0,2,8.79,0,0.58,9.37,30,0,2,8.79,0,0.59,9.38,0.1,0.7,0.106723586
6,2A,Elec,HOU+elecres+slab+IECC_1990_para00006Table.csv,30,0,2,8.79,0,0.64,9.43,30,0,2,8.79,0,0.64,9.43,0.1,0.85,0
7,2A,Elec,HOU+elecres+slab+IECC_1990_para00007Table.csv,32,0,1,9.41,0,0.38,9.79,32,0,1,9.41,0,0.39,9.8,0.3,0.1,0.102145046
8,2A,Elec,HOU+elecres+slab+IECC_1990_para00008Table.csv,32,0,0,9.41,0,0,9.41,32,0,0,9.41,0,0,9.41,0.3,0.25,0
9,2A,Elec,HOU+elecres+slab+IECC_1990_para00009Table.csv,32,0,2,9.41,0,0.48,9.89,32,0,2,9.41,0,0.49,9.9,0.3,0.4,0.101112235
10,2A,Elec,HOU+elecres+slab+IECC_1990_para00010Table.csv,32,0,2,9.41,0,0.53,9.94,32,0,2,9.41,0,0.54,9.95,0.3,0.55,0.100603622
11,2A,Elec,HOU+elecres+slab+IECC_1990_para00011Table.csv,32,0,2,9.41,0,0.59,10,32,0,2,9.41,0,0.59,10,0.3,0.7,0
12,2A,Elec,HOU+elecres+slab+IECC_1990_para00012Table.csv,32,0,2,9.41,0,0.65,10.06,32,0,2,9.41,0,0.65,10.06,0.3,0.85,0
13,2A,Elec,HOU+elecres+slab+IECC_1990_para00013Table.csv,34,0,1,9.93,0,0.39,10.32,34,0,1,9.93,0,0.4,10.33,0.5,0.1,0.096899225
14,2A,Elec,HOU+elecres+slab+IECC_1990_para00014Table.csv,34,0,2,9.93,0,0.45,10.38,34,0,2,9.93,0,0.45,10.38,0.5,0.25,0
15,2A,Elec,HOU+elecres+slab+IECC_1990_para00015Table.csv,34,0,2,9.93,0,0.49,10.42,34,0,2,9.93,0,0.5,10.43,0.5,0.4,0.09596929
16,2A,Elec,HOU+elecres+slab+IECC_1990_para00016Table.csv,34,0,2,9.93,0,0.54,10.47,34,0,2,9.93,0,0.55,10.48,0.5,0.55,0.095510984
17,2A,Elec,HOU+elecres+slab+IECC_1990_para00017Table.csv,34,0,2,9.93,0,0.6,10.53,34,0,2,9.93,0,0.6,10.53,0.5,0.7,0
18,2A,Elec,HOU+elecres+slab+IECC_1990_para00018Table.csv,34,0,2,9.93,0,0.66,10.59,34,0,2,9.93,0,0.65,10.58,0.5,0.85,-0.094428706
19,2A,Elec,HOU+elecres+slab+IECC_1990_para00019Table.csv,35,0,1,10.37,0,0.4,10.77,35,0,1,10.37,0,0.41,10.78,0.7,0.1,0.092850511
20,2A,Elec,HOU+elecres+slab+IECC_1990_para00020Table.csv,35,0,2,10.37,0,0.46,10.83,35,0,2,10.37,0,0.47,10.84,0.7,0.25,0.092336103
21,2A,Elec,HOU+elecres+slab+IECC_1990_para00021Table.csv,35,0,2,10.37,0,0.51,10.88,35,0,2,10.37,0,0.52,10.89,0.7,0.4,0.091911765
22,2A,Elec,HOU+elecres+slab+IECC_1990_para00022Table.csv,35,0,2,10.37,0,0.56,10.93,35,0,2,10.37,0,0.57,10.94,0.7,0.55,0.091491308
23,2A,Elec,HOU+elecres+slab+IECC_1990_para00023Table.csv,35,0,2,10.37,0,0.61,10.98,35,0,2,10.37,0,0.62,10.99,0.7,0.7,0.091074681
24,2A,Elec,HOU+elecres+slab+IECC_1990_para00024Table.csv,35,0,2,10.37,0,0.67,11.04,35,0,2,10.37,0,0.67,11.04,0.7,0.85,0
25,2A,Elec,HOU+elecres+slab+IECC_1990_para00025Table.csv,37,0,1,10.76,0,0.41,11.17,37,0,1,10.76,0,0.42,11.18,0.9,0.1,0.089525515
26,2A,Elec,HOU+elecres+slab+IECC_1990_para00026Table.csv,37,0,2,10.76,0,0.48,11.24,37,0,2,10.76,0,0.48,11.24,0.9,0.25,0
27,2A,Elec,HOU+elecres+slab+IECC_1990_para00027Table.csv,37,0,2,10.76,0,0.53,11.29,37,0,2,10.76,0,0.54,11.3,0.9,0.4,0.088573959
28,2A,Elec,HOU+elecres+slab+IECC_1990_para00028Table.csv,37,0,2,10.76,0,0.59,11.35,37,0,2,10.76,0,0.59,11.35,0.9,0.55,0
29,2A,Elec,HOU+elecres+slab+IECC_1990_para00029Table.csv,37,0,2,10.76,0,0.63,11.39,37,0,2,10.76,0,0.63,11.39,0.9,0.7,0
30,2A,Elec,HOU+elecres+slab+IECC_1990_para00030Table.csv,37,0,2,10.76,0,0.68,11.44,37,0,2,10.76,0,0.68,11.44,0.9,0.85,0
31,2A,Elec,HOU+elecres+slab+IECC_1990_para00031Table.csv,37,0,1,10.98,0,0.42,11.4,37,0,1,10.98,0,0.42,11.4,1.1,0.1,0
32,2A,Elec,HOU+elecres+slab+IECC_1990_para00032Table.csv,37,0,2,10.98,0,0.49,11.47,37,0,2,10.98,0,0.49,11.47,1.1,0.25,0
33,2A,Elec,HOU+elecres+slab+IECC_1990_para00033Table.csv,37,0,2,10.98,0,0.54,11.52,37,0,2,10.98,0,0.55,11.53,1.1,0.4,0.086805556
34,2A,Elec,HOU+elecres+slab+IECC_1990_para00034Table.csv,37,0,2,10.98,0,0.6,11.58,37,0,2,10.98,0,0.6,11.58,1.1,0.55,0
35,2A,Elec,HOU+elecres+slab+IECC_1990_para00035Table.csv,37,0,2,10.98,0,0.64,11.62,37,0,2,10.98,0,0.64,11.62,1.1,0.7,0
36,2A,Elec,HOU+elecres+slab+IECC_1990_para00036Table.csv,37,0,2,10.98,0,0.68,11.66,37,0,2,10.98,0,0.68,11.66,1.1,0.85,0
1,2A,Elec,HOU+elecres+slab+IECC_2006_para00001Table.csv,23.38,0,3.12,6.85,0,0.91416,7.76416,23.38,0,3.12,6.85,0,0.91416,7.76416,0.1,0.1,0
2,2A,Elec,HOU+elecres+slab+IECC_2006_para00002Table.csv,23.38,0,1.15,6.85,0,0.33695,7.18695,23.38,0,1.17,6.85,0,0.34281,7.19281,0.1,0.25,0.081536674
3,2A,Elec,HOU+elecres+slab+IECC_2006_para00003Table.csv,23.38,0,1.3,6.85,0,0.3809,7.2309,23.38,0,1.35,6.85,0,0.39555,7.24555,0.1,0.4,0.202602719
4,2A,Elec,HOU+elecres+slab+IECC_2006_para00004Table.csv,23.38,0,1.47,6.85,0,0.43071,7.28071,23.38,0,1.53,6.85,0,0.44829,7.29829,0.1,0.55,0.241459968
5,2A,Elec,HOU+elecres+slab+IECC_2006_para00005Table.csv,23.38,0,1.67,6.85,0,0.48931,7.33931,23.38,0,1.71,6.85,0,0.50103,7.35103,0.1,0.7,0.159688036
6,2A,Elec,HOU+elecres+slab+IECC_2006_para00006Table.csv,23.38,0,1.9,6.85,0,0.5567,7.4067,23.38,0,1.89,6.85,0,0.55377,7.40377,0.1,0.85,-0.039558778
7,2A,Elec,HOU+elecres+slab+IECC_2006_para00007Table.csv,25.55,0,1.01,7.49,0,0.29593,7.78593,25.55,0,1.03,7.49,0,0.30179,7.79179,0.3,0.1,0.07526397
8,2A,Elec,HOU+elecres+slab+IECC_2006_para00008Table.csv,25.55,0,0,7.49,0,0,7.49,25.55,0,0,7.49,0,0,7.49,0.3,0.25,0
9,2A,Elec,HOU+elecres+slab+IECC_2006_para00009Table.csv,25.55,0,1.34,7.49,0,0.39262,7.88262,25.56,0,1.39,7.49,0,0.40727,7.89727,0.3,0.4,0.185851912
10,2A,Elec,HOU+elecres+slab+IECC_2006_para00010Table.csv,25.56,0,1.51,7.49,0,0.44243,7.93243,25.56,0,1.57,7.49,0,0.46001,7.95001,0.3,0.55,0.221621874
11,2A,Elec,HOU+elecres+slab+IECC_2006_para00011Table.csv,25.56,0,1.71,7.49,0,0.50103,7.99103,25.56,0,1.74,7.49,0,0.50982,7.99982,0.3,0.7,0.109998336
12,2A,Elec,HOU+elecres+slab+IECC_2006_para00012Table.csv,25.56,0,1.94,7.49,0,0.56842,8.05842,25.56,0,1.92,7.49,0,0.56256,8.05256,0.3,0.85,-0.07271897
13,2A,Elec,HOU+elecres+slab+IECC_2006_para00013Table.csv,27.39,0,1.04,8.03,0,0.30472,8.33472,27.39,0,1.06,8.03,0,0.31058,8.34058,0.5,0.1,0.070308301
14,2A,Elec,HOU+elecres+slab+IECC_2006_para00014Table.csv,27.39,0,1.23,8.03,0,0.36039,8.39039,27.39,0,1.25,8.03,0,0.36625,8.39625,0.5,0.25,0.069841807
15,2A,Elec,HOU+elecres+slab+IECC_2006_para00015Table.csv,27.39,0,1.38,8.03,0,0.40434,8.43434,27.39,0,1.42,8.03,0,0.41606,8.44606,0.5,0.4,0.138955745
16,2A,Elec,HOU+elecres+slab+IECC_2006_para00016Table.csv,27.39,0,1.55,8.03,0,0.45415,8.48415,27.39,0,1.6,8.03,0,0.4688,8.4988,0.5,0.55,0.172674929
17,2A,Elec,HOU+elecres+slab+IECC_2006_para00017Table.csv,27.39,0,1.75,8.03,0,0.51275,8.54275,27.39,0,1.77,8.03,0,0.51861,8.54861,0.5,0.7,0.068596178
18,2A,Elec,HOU+elecres+slab+IECC_2006_para00018Table.csv,27.39,0,1.97,8.03,0,0.57721,8.60721,27.39,0,1.95,8.03,0,0.57135,8.60135,0.5,0.85,-0.068082456
19,2A,Elec,HOU+elecres+slab+IECC_2006_para00019Table.csv,28.96,0,1.08,8.49,0,0.31644,8.80644,28.96,0,1.1,8.49,0,0.3223,8.8123,0.7,0.1,0.066542212
20,2A,Elec,HOU+elecres+slab+IECC_2006_para00020Table.csv,28.96,0,1.28,8.49,0,0.37504,8.86504,28.96,0,1.3,8.49,0,0.3809,8.8709,0.7,0.25,0.066102353
21,2A,Elec,HOU+elecres+slab+IECC_2006_para00021Table.csv,28.96,0,1.45,8.49,0,0.42485,8.91485,28.96,0,1.49,8.49,0,0.43657,8.92657,0.7,0.4,0.131466037
22,2A,Elec,HOU+elecres+slab+IECC_2006_para00022Table.csv,28.32,0,1.58,8.3,0,0.46294,8.76294,28.28,0,1.62,8.29,0,0.47466,8.76466,0.7,0.55,0.019628116
23,2A,Elec,HOU+elecres+slab+IECC_2006_para00023Table.csv,28.96,0,1.8,8.49,0,0.5274,9.0174,28.96,0,1.83,8.49,0,0.53619,9.02619,0.7,0.7,0.097478209
24,2A,Elec,HOU+elecres+slab+IECC_2006_para00024Table.csv,28.96,0,2,8.49,0,0.586,9.076,28.96,0,1.99,8.49,0,0.58307,9.07307,0.7,0.85,-0.032282944
25,2A,Elec,HOU+elecres+slab+IECC_2006_para00025Table.csv,30.32,0,1.12,8.88,0,0.32816,9.20816,30.32,0,1.13,8.88,0,0.33109,9.21109,0.9,0.1,0.031819603
26,2A,Elec,HOU+elecres+slab+IECC_2006_para00026Table.csv,30.32,0,1.34,8.88,0,0.39262,9.27262,30.32,0,1.35,8.88,0,0.39555,9.27555,0.9,0.25,0.031598405
27,2A,Elec,HOU+elecres+slab+IECC_2006_para00027Table.csv,30.32,0,1.52,8.88,0,0.44536,9.32536,30.32,0,1.55,8.88,0,0.45415,9.33415,0.9,0.4,0.094259096
