Run,Climate,System,Parametric,Heating [kBtu]_92,Cooling [kBtu]_92,Fan [kBtu]_92,Heat [kWh]_92,Cool [kWh]_92,Fan [kWh]_92,Heating [kBtu]_95,Cooling [kBtu]_95,Fan [kBtu]_95,Heat [kWh]_95,Cool [kWh]_95,Fan [kWh]_95,U,SHGC,Heat%Diff,Cool%Diff,Fan%Diff
28,2A,Elec,HOU+elecres+slab+IECC_1990_para00028Table.csv,29884,21007,5295,8756.14,6155,1551.53,29830,21133,5324,8740.21,6192.03,1559.84,0.9,0.55,-0.180698702,0.599800067,0.547686497
29,2A,Elec,HOU+elecres+slab+IECC_1990_para00029Table.csv,29011,22821,5747,8500.16,6686.47,1684.01,28951,22955,5779,8482.63,6725.93,1693.18,0.9,0.7,-0.206818103,0.587178476,0.55681225
30,2A,Elec,HOU+elecres+slab+IECC_1990_para00030Table.csv,28195,24859,6265,8261.05,7283.73,1835.57,28235,24702,6229,8272.81,7237.77,1824.96,0.9,0.85,0.141869126,-0.63156201,-0.57462091
31,2A,Elec,HOU+elecres+slab+IECC_1990_para00031Table.csv,35664,14496,3713,10449.65,4247.31,1087.91,35404,14812,3775,10373.5,4339.94,1106.05,1.1,0.1,-0.729026469,2.1799117,1.66980878
32,2A,Elec,HOU+elecres+slab+IECC_1990_para00032Table.csv,33413,17111,4362,9790.12,5013.54,1278.16,33349,17209,4384,9771.13,5042.2,1284.47,1.1,0.25,-0.191542214,0.572730992,0.5043558
33,2A,Elec,HOU+elecres+slab+IECC_1990_para00033Table.csv,32001,19108,4865,9376.21,5598.72,1425.47,31875,19360,4922,9339.3,5672.49,1442.28,1.1,0.4,-0.393737696,1.318819343,1.171634121
34,2A,Elec,HOU+elecres+slab+IECC_1990_para00034Table.csv,30773,21294,5406,9016.58,6239.11,1583.9,30791,21230,5390,9021.8,6220.35,1579.36,1.1,0.55,0.058492835,-0.300554147,-0.295967444
35,2A,Elec,HOU+elecres+slab+IECC_1990_para00035Table.csv,29919,23040,5841,8766.35,6750.75,1711.28,29925,22992,5829,8767.92,6736.52,1707.99,1.1,0.7,0.020054146,-0.208333333,-0.205444273
36,2A,Elec,HOU+elecres+slab+IECC_1990_para00036Table.csv,29148,24915,6307,8540.41,7300.14,1848.05,29218,24668,6260,8560.73,7227.71,1834.31,1.1,0.85,0.240153698,-0.99137066,-0.745203742
1,2A,Elec,HOU+elecres+slab+IECC_2006_para00001Table.csv,17282.43,11610.11,2538.59,5063.75,3401.8,743.80687,17022.38,11937.8,2594.87,4987.56,3497.8,760.29691,0.1,0.1,-1.504707382,2.822453879,2.216978717
