Run,Climate,System,Parametric,Heating [kBtu]_92,Cooling [kBtu]_92,Fan [kBtu]_92,Heat [kWh]_92,Cool [kWh]_92,Fan [kWh]_92,Heating [kBtu]_95,Cooling [kBtu]_95,Fan [kBtu]_95,Heat [kWh]_95,Cool [kWh]_95,Fan [kWh]_95,U,SHGC,Heat%Diff,Cool%Diff,Fan%Diff
32,3A,Elec,MEM+elecres+slab+IECC_2006_para00032Table.csv,50986.55,11394.29,3464.43,14939.06,3338.5,1015.07799,50881.47,11495.75,3488.04,14908.27,3368.3,1021.99572,1.1,0.25,-0.206093568,0.890446004,0.681497389
33,3A,Elec,MEM+elecres+slab+IECC_2006_para00033Table.csv,48545.99,13172.31,3959.47,14223.98,3859.5,1160.12471,48342.45,13415.37,4013.69,14164.34,3930.7,1176.01117,1.1,0.4,-0.419272529,1.845234435,1.369375194
34,3A,Elec,MEM+elecres+slab+IECC_2006_para00034Table.csv,46412.59,15187.4,4496.67,13598.89,4449.9,1317.52431,46440.59,15130.32,4482.32,13607.09,4433.2,1313.31976,1.1,0.55,0.060328458,-0.375837866,-0.319125041
35,3A,Elec,MEM+elecres+slab+IECC_2006_para00035Table.csv,44879.31,16831.27,4940.75,13149.64,4931.6,1447.63975,44885.09,16790.73,4931.24,13151.33,4919.7,1444.85332,1.1,0.7,0.012878986,-0.240861207,-0.192480899
36,3A,Elec,MEM+elecres+slab+IECC_2006_para00036Table.csv,43545.47,18644.62,5422.66,12758.82,5462.9,1588.83938,43649.72,18410.42,5370.58,12789.37,5394.3,1573.57994,1.1,0.85,0.239404925,-1.256126432,-0.960414262
1,3A,Elec,MEM+elecres+slab+IECC_2018_para00001Table.csv,18794.98,6945.4,1712.3,5506.93,2035,501.7039,18423.01,7234.95,1762.25,5397.94,2119.8,516.33925,0.1,0.1,-1.97909229,4.168946353,2.917129008
2,3A,Elec,MEM+elecres+slab+IECC_2018_para00002Table.csv,16411.75,8815.78,2124.14,4808.64,2583,622.37302,16162.06,9152.57,2191.99,4735.48,2681.7,642.25307,0.1,0.25,-1.521409965,3.820308583,3.194233902
3,3A,Elec,MEM+elecres+slab+IECC_2018_para00003Table.csv,15118.59,10234.71,2478.33,4429.75,2998.8,726.15069,14626.26,11139.12,2662.66,4285.49,3263.8,780.15938,0.1,0.4,-3.256454471,8.836693956,7.437669721
4,3A,Elec,MEM+elecres+slab+IECC_2018_para00004Table.csv,13967.53,12169.9,2947.25,4092.49,3565.8,863.54425,13564.32,13285.11,3186.37,3974.35,3892.5,933.60641,0.1,0.55,-2.886766665,9.163674311,8.113325982
5,3A,Elec,MEM+elecres+slab+IECC_2018_para00005Table.csv,12984.35,14770,3574.51,3804.41,4327.6,1047.33143,12825.45,15404.85,3720.44,3757.86,4513.6,1090.08892,0.1,0.7,-1.223780936,4.298239675,4.082517604
6,3A,Elec,MEM+elecres+slab+IECC_2018_para00006Table.csv,12208.11,17769.5,4311.58,3576.98,5206.5,1263.29294,12250.95,17534.44,4263.33,3589.53,5137.6,1249.15569,0.1,0.85,0.350914269,-1.322828442,-1.119079317
7,3A,Elec,MEM+elecres+slab+IECC_2018_para00007Table.csv,23886.26,6870.53,1817.4,6998.67,2013.1,532.4982,23441.11,7161.58,1870.27,6868.25,2098.3,547.98911,0.3,0.1,-1.86362369,4.236208851,2.909100913
8,3A,Elec,MEM+elecres+slab+IECC_2018_para00008Table.csv,21177.61,8689.86,2240.45,6205.04,2546.1,656.45185,20879.03,9027.77,2310.79,6117.56,2645.1,677.06147,0.3,0.25,-1.409885251,3.888555167,3.139547859
9,3A,Elec,MEM+elecres+slab+IECC_2018_para00009Table.csv,19707.95,10027.35,2586.27,5774.43,2938,757.77711,19083.72,10931.3,2771.16,5591.53,3202.9,811.94988,0.3,0.4,-3.167401988,9.014844401,7.148905567
10,3A,Elec,MEM+elecres+slab+IECC_2018_para00010Table.csv,18260.12,11908.26,3048.68,5350.22,3489.1,893.26324,17783.93,12891.64,3266.69,5210.69,3777.3,957.14017,0.3,0.55,-2.607814187,8.257965479,7.150963696
11,3A,Elec,MEM+elecres+slab+IECC_2018_para00011Table.csv,17020.73,14390.14,3662.65,4987.07,4216.3,1073.15645,16847.71,14931.29,3788.95,4936.38,4374.9,1110.16235,0.3,0.7,-1.016525143,3.760561051,3.448322936
12,3A,Elec,MEM+elecres+slab+IECC_2018_para00012Table.csv,16067.8,17283.14,4387.19,4707.87,5064,1285.44667,16136.27,16992.4,4318.18,4727.93,4978.8,1265.22674,0.3,0.85,0.426131767,-1.682217467,-1.572988633
13,3A,Elec,MEM+elecres+slab+IECC_2018_para00013Table.csv,28291.04,6876.26,1914.85,8289.27,2014.7,561.05105,27830.16,7159.14,1967.95,8154.24,2097.6,576.60935,0.5,0.1,-1.629067012,4.113864223,2.773063164
14,3A,Elec,MEM+elecres+slab+IECC_2018_para00014Table.csv,25370.57,8649.55,2347.27,7433.58,2534.3,687.75011,25074.7,8958.18,2413.75,7346.89,2624.7,707.22875,0.5,0.25,-1.166193743,3.568162506,2.832226374
15,3A,Elec,MEM+elecres+slab+IECC_2018_para00015Table.csv,23768.24,9940.11,2692.92,6964.09,2912.5,789.02556,23105.58,10769.36,2866.27,6769.93,3155.4,839.81711,0.5,0.4,-2.78800618,8.342463011,6.437250271
16,3A,Elec,MEM+elecres+slab+IECC_2018_para00016Table.csv,22093.02,11806.95,3160.62,6473.25,3459.4,926.06166,21601.21,12655.38,3350.73,6329.15,3708,981.76389,0.5,0.55,-2.226087696,7.1858524,6.01495909
17,3A,Elec,MEM+elecres+slab+IECC_2018_para00017Table.csv,20651.55,14218.28,3765.62,6050.9,4166,1103.32666,20495.55,14621.56,3855.44,6005.2,4284.1,1129.64392,0.5,0.7,-0.755391242,2.8363487,2.385264578
18,3A,Elec,MEM+elecres+slab+IECC_2018_para00018Table.csv,19555.28,16964.09,4463.72,5729.7,4970.5,1307.86996,19657.29,16597.22,4375.89,5759.59,4863,1282.13577,0.5,0.85,0.521649396,-2.162627055,-1.96764134
19,3A,Elec,MEM+elecres+slab+IECC_2018_para00019Table.csv,32052.97,6965.98,2016.75,9391.52,2041,590.90775,31583.9,7241.76,2070.79,9254.08,2121.8,606.74147,0.7,0.1,-1.46342133,3.958954806,2.679558696
20,3A,Elec,MEM+elecres+slab+IECC_2018_para00020Table.csv,28774.83,8890.99,2497.81,8431.03,2605.1,731.85833,28532.85,9139.05,2554.24,8360.13,2677.7,748.39232,0.7,0.25,-0.840943283,2.79001551,2.259179041
21,3A,Elec,MEM+elecres+slab+IECC_2018_para00021Table.csv,26870.37,10396.58,2900.57,7873.02,3046.2,849.86701,26395.13,10998.98,3036.74,7733.77,3222.7,889.76482,0.7,0.4,-1.768639583,5.794213097,4.694594511
22,3A,Elec,MEM+elecres+slab+IECC_2018_para00022Table.csv,25133.41,12290.98,3387.45,7364.09,3601.3,992.52285,24829.19,12826.36,3508.22,7274.95,3758.1,1027.90846,0.7,0.55,-1.210420711,4.355877237,3.565218675
23,3A,Elec,MEM+elecres+slab+IECC_2018_para00023Table.csv,23781.13,14413.24,3931.38,6967.87,4223.1,1151.89434,23647.46,14714.54,4004.41,6928.71,4311.4,1173.29213,0.7,0.7,-0.562084308,2.090439069,1.857617427
24,3A,Elec,MEM+elecres+slab+IECC_2018_para00024Table.csv,22679.7,16857.01,4566.76,6645.15,4939.1,1338.06068,22759.9,16596.96,4504.51,6668.65,4862.9,1319.82143,0.7,0.85,0.353620198,-1.54268165,-1.363110827
25,3A,Elec,MEM+elecres+slab+IECC_2018_para00025Table.csv,35399.69,7046.55,2108,10372.11,2064.6,617.644,34938.25,7316.32,2162.86,10236.91,2143.7,633.71798,0.9,0.1,-1.30351424,3.828398294,2.602466793
26,3A,Elec,MEM+elecres+slab+IECC_2018_para00026Table.csv,31744.23,9178.07,2657.97,9301.06,2689.2,778.78521,31600.58,9321.75,2691.32,9258.97,2731.3,788.55676,0.9,0.25,-0.452523183,1.565470736,1.254716946
27,3A,Elec,MEM+elecres+slab+IECC_2018_para00027Table.csv,29599.1,10872.38,3110.97,8672.54,3185.6,911.51421,29312.09,11262.02,3199.74,8588.44,3299.8,937.52382,0.9,0.4,-0.969657861,3.58375995,2.853450853
28,3A,Elec,MEM+elecres+slab+IECC_2018_para00028Table.csv,27766.32,12937.39,3644.03,8135.53,3790.7,1067.70079,27694.87,13060.47,3673.6,8114.6,3826.7,1076.3648,0.9,0.55,-0.257326142,0.951351084,0.811464231
29,3A,Elec,MEM+elecres+slab+IECC_2018_para00029Table.csv,26544.63,14717.68,4113.43,7777.58,4312.3,1205.23499,26471.52,14856.16,4148.27,7756.16,4352.9,1215.44311,0.9,0.7,-0.275422939,0.940909165,0.846981716
30,3A,Elec,MEM+elecres+slab+IECC_2018_para00030Table.csv,25522.48,16762.69,4647.78,7478.09,4911.5,1361.79954,25566.24,16619.49,4618.86,7490.91,4869.5,1353.32598,0.9,0.85,0.171456692,-0.854278162,-0.62223255
31,3A,Elec,MEM+elecres+slab+IECC_2018_para00031Table.csv,37305.43,7131.66,2167.71,10930.49,2089.6,635.13903,36866.67,7386,2221.23,10801.93,2164.1,650.82039,1.1,0.1,-1.176129051,3.566350611,2.468964945
32,3A,Elec,MEM+elecres+slab+IECC_2018_para00032Table.csv,33518.64,9320.92,2746.85,9820.96,2731,804.82705,33419.47,9423.22,2770.55,9791.9,2761,811.77115,1.1,0.25,-0.295865226,1.097531145,0.862806487
33,3A,Elec,MEM+elecres+slab+IECC_2018_para00033Table.csv,31265.48,11120.72,3227.07,9160.79,3258.4,945.53151,31084.55,11353.59,3283.31,9107.77,3326.6,962.00983,1.1,0.4,-0.57868934,2.094019092,1.742757362
34,3A,Elec,MEM+elecres+slab+IECC_2018_para00034Table.csv,29415.53,13165.36,3762.82,8618.75,3857.5,1102.50626,29438.5,13110.97,3749.64,8625.48,3841.5,1098.64452,1.1,0.55,0.078088003,-0.413129607,-0.350269213
35,3A,Elec,MEM+elecres+slab+IECC_2018_para00035Table.csv,28188.14,14878.49,4210.69,8259.13,4359.4,1233.73217,28192.75,14835.84,4206.27,8260.48,4346.9,1232.43711,1.1,0.7,0.016354396,-0.286655433,-0.104970919
36,3A,Elec,MEM+elecres+slab+IECC_2018_para00036Table.csv,27190.34,16749.09,4708.14,7966.77,4907.5,1379.48502,27268.43,16530.14,4653.57,7989.65,4843.3,1363.49601,1.1,0.85,0.287197586,-1.307235199,-1.159056443
1,3A,Gas,MEM+gasfurnace+slab+1990_para00001Table.csv,55814.99,11453.77,3175.9,16353.79,3356,930.5387,55373.86,11762.13,3225.5,16224.54,3446.3,945.0715,0.1,0.1,-0.790343239,2.692214005,1.56176202
2,3A,Gas,MEM+gasfurnace+slab+1990_para00002Table.csv,52690.89,13314.06,3648.12,15438.43,3901,1068.89916,52327.66,13636.03,3716.13,15332,3995.4,1088.82609,0.1,0.25,-0.689360153,2.41827061,1.864247887
3,3A,Gas,MEM+gasfurnace+slab+1990_para00003Table.csv,50719.07,14657.63,4023.27,14860.69,4294.7,1178.81811,49857,15517.1,4204.05,14608.1,4546.5,1231.78665,0.1,0.4,-1.699695992,5.863635526,4.493359879
4,3A,Gas,MEM+gasfurnace+slab+1990_para00004Table.csv,48616.88,16437.71,4495.27,14244.75,4816.2,1317.11411,47768.36,17502.46,4727.28,13996.13,5128.2,1385.09304,0.1,0.55,-1.745319733,6.477483786,5.161202775
5,3A,Gas,MEM+gasfurnace+slab+1990_para00005Table.csv,46466.45,18859.95,5108.29,13614.67,5526,1496.72897,46096.67,19465.59,5249.56,13506.32,5703.4,1538.12108,0.1,0.7,-0.79579998,3.211249234,2.765504699
6,3A,Gas,MEM+gasfurnace+slab+1990_para00006Table.csv,44615.03,21687.12,5829.72,13072.2,6354.3,1708.10796,44717.31,21454.74,5782.64,13102.17,6286.2,1694.31352,0.1,0.85,0.229250098,-1.07151157,-0.807585956
7,3A,Gas,MEM+gasfurnace+slab+1990_para00007Table.csv,62214.24,11384,3259.92,18228.77,3335.5,955.15656,61709.93,11694.02,3323,18081.01,3426.3,973.639,0.3,0.1,-0.810602203,2.723295854,1.93501681
8,3A,Gas,MEM+gasfurnace+slab+1990_para00008Table.csv,58885.69,13218.11,3748.14,17253.51,3872.9,1098.20502,58484.81,13565.41,3818.54,17136.05,3974.7,1118.83222,0.3,0.25,-0.680776603,2.627455816,1.878264953
9,3A,Gas,MEM+gasfurnace+slab+1990_para00009Table.csv,56851.73,14510.57,4117.28,16657.56,4251.6,1206.36304,55892.9,15381.3,4303.54,16376.62,4506.7,1260.93722,0.3,0.4,-1.686544983,6.000660208,4.523860413
10,3A,Gas,MEM+gasfurnace+slab+1990_para00010Table.csv,54549.98,16279.19,4585.05,15983.14,4769.8,1343.41965,53688.29,17220.33,4799.36,15730.67,5045.6,1406.21248,0.3,0.55,-1.579633943,5.781245873,4.674103881
11,3A,Gas,MEM+gasfurnace+slab+1990_para00011Table.csv,52207.06,18611.3,5190.09,15296.67,5453.1,1520.69637,51856.93,19125.59,5311.23,15194.08,5603.8,1556.19039,0.3,0.7,-0.670656421,2.763321208,2.334063571
12,3A,Gas,MEM+gasfurnace+slab+1990_para00012Table.csv,50192.6,21335.2,5893.69,14706.43,6251.2,1726.85117,50339.59,21051.69,5824.13,14749.5,6168.1,1706.47009,0.3,0.85,0.292851934,-1.328836852,-1.180245313
13,3A,Gas,MEM+gasfurnace+slab+1990_para00013Table.csv,67650.64,11373.26,3349.8,19821.64,3332.4,981.4914,67141.2,11666.2,3406.05,19672.37,3418.2,997.97265,0.5,0.1,-0.753045352,2.575690699,1.679204729
14,3A,Gas,MEM+gasfurnace+slab+1990_para00014Table.csv,64190.56,13199.19,3839.84,18807.83,3867.4,1125.07312,63811.26,13494.74,3906.61,18696.7,3954,1144.63673,0.5,0.25,-0.590896855,2.239152554,1.738874536
15,3A,Gas,MEM+gasfurnace+slab+1990_para00015Table.csv,62088.66,14442.74,4207.01,18191.98,4231.7,1232.65393,61144.93,15265.16,4386.21,17915.46,4472.7,1285.15953,0.5,0.4,-1.519971602,5.694348856,4.259557263
16,3A,Gas,MEM+gasfurnace+slab+1990_para00016Table.csv,59631.14,16236.19,4686.08,17471.92,4757.2,1373.02144,58827.38,17051.34,4873.68,17236.42,4996,1427.98824,0.5,0.55,-1.347886356,5.020574408,4.00334608
17,3A,Gas,MEM+gasfurnace+slab+1990_para00017Table.csv,57156.73,18502.29,5280.92,16746.92,5421.2,1547.30956,56870.21,18898.74,5367.52,16662.97,5537.3,1572.68336,0.5,0.7,-0.5012883,2.142707741,1.639865781
18,3A,Gas,MEM+gasfurnace+slab+1990_para00018Table.csv,55042.7,21101.71,5959.76,16127.51,6182.8,1746.20968,55242.54,20753.45,5873.8,16186.06,6080.8,1721.0234,0.5,0.85,0.363063585,-1.650387575,-1.44233996
19,3A,Gas,MEM+gasfurnace+slab+1990_para00019Table.csv,72254.28,11428.54,3443.94,21170.5,3348.6,1009.07442,71741.45,11732.24,3505.15,21020.24,3437.5,1027.00895,0.7,0.1,-0.709757263,2.657382308,1.777324808
20,3A,Gas,MEM+gasfurnace+slab+1990_para00020Table.csv,68418.4,13420.25,3985.44,20046.59,3932.1,1167.73392,68114.06,13681.08,4040.16,19957.42,4008.6,1183.76688,0.7,0.25,-0.444821861,1.943555448,1.372997712
21,3A,Gas,MEM+gasfurnace+slab+1990_para00021Table.csv,65950.06,14913.84,4408.16,19323.37,4369.8,1291.59088,65288.89,15508.27,4542,19129.64,4543.9,1330.806,0.7,0.4,-1.002531309,3.985760877,3.036187434
22,3A,Gas,MEM+gasfurnace+slab+1990_para00022Table.csv,63458.49,16731.12,4902.27,18593.34,4902.2,1436.36511,62983.29,17261.32,5022.67,18454.1,5057.6,1471.64231,0.7,0.55,-0.748835971,3.168945056,2.456005075
23,3A,Gas,MEM+gasfurnace+slab+1990_para00023Table.csv,61250.03,18741.76,5435.04,17946.26,5491.3,1592.46672,61016.89,19028.21,5506.06,17877.95,5575.3,1613.27558,0.7,0.7,-0.380636548,1.528405016,1.306706114
24,3A,Gas,MEM+gasfurnace+slab+1990_para00024Table.csv,59245.78,21058.31,6046.64,17359.01,6170.1,1771.66552,59394.1,20786.92,5988.12,17402.47,6090.6,1754.51916,0.7,0.85,0.250346945,-1.288754891,-0.967810222
25,3A,Gas,MEM+gasfurnace+slab+1990_para00025Table.csv,76322.82,11498.94,3525.85,22362.59,3369.2,1033.07405,75820.42,11791.02,3591.69,22215.38,3454.8,1052.36517,0.9,0.1,-0.6582566,2.540060214,1.867351135
26,3A,Gas,MEM+gasfurnace+slab+1990_para00026Table.csv,72075.82,13712.84,4134.29,21118.22,4017.9,1211.34697,71895.8,13854.79,4168.96,21065.47,4059.5,1221.50528,0.9,0.25,-0.249764762,1.035161207,0.838596228
27,3A,Gas,MEM+gasfurnace+slab+1990_para00027Table.csv,69310.31,15383.74,4610.67,20307.92,4507.4,1350.92631,68914.74,15772.31,4700.68,20192.02,4621.3,1377.29924,0.9,0.4,-0.570723172,2.525848721,1.95221085
28,3A,Gas,MEM+gasfurnace+slab+1990_para00028Table.csv,66717.96,17392.48,5149.86,19548.36,5096,1508.90898,66608.43,17499.56,5176.68,19516.27,5127.4,1516.76724,0.9,0.55,-0.164168689,0.615668381,0.520790856
29,3A,Gas,MEM+gasfurnace+slab+1990_para00029Table.csv,64794.33,19067.21,5608.06,18984.74,5586.7,1643.16158,64671.15,19192.72,5640.22,18948.65,5623.5,1652.58446,0.9,0.7,-0.190109227,0.658250473,0.573460341
30,3A,Gas,MEM+gasfurnace+slab+1990_para00030Table.csv,63015.4,21002.45,6125.24,18463.51,6153.7,1794.69532,63095.05,20842.3,6092.29,18486.85,6106.8,1785.04097,0.9,0.85,0.126397674,-0.762530086,-0.537938105
31,3A,Gas,MEM+gasfurnace+slab+1990_para00031Table.csv,78639.22,11569.42,3585.04,23041.29,3389.8,1050.41672,78162.62,11851.69,3644.84,22901.65,3472.5,1067.93812,1.1,0.1,-0.606058911,2.43979387,1.668042755
32,3A,Gas,MEM+gasfurnace+slab+1990_para00032Table.csv,74254.4,13858.74,4220.33,21756.54,4060.6,1236.55669,74130.6,13948.64,4242.55,21720.27,4087,1243.06715,1.1,0.25,-0.166724127,0.64868812,0.526499113
33,3A,Gas,MEM+gasfurnace+slab+1990_para00033Table.csv,71366.13,15631.78,4720.08,20910.28,4580.1,1382.98344,71118.97,15877.7,4774.73,20837.86,4652.2,1398.99589,1.1,0.4,-0.346326752,1.573205355,1.157819359
34,3A,Gas,MEM+gasfurnace+slab+1990_para00034Table.csv,68779.29,17629.02,5258.52,20152.33,5165.3,1540.74636,68814.56,17569.54,5242.65,20162.67,5147.9,1536.09645,1.1,0.55,0.051279971,-0.337398222,-0.301795943
35,3A,Gas,MEM+gasfurnace+slab+1990_para00035Table.csv,66889.67,19241.63,5699.52,19598.67,5637.8,1669.95936,66898.43,19195.38,5687.38,19601.24,5624.2,1666.40234,1.1,0.7,0.013096193,-0.240364252,-0.213000393
36,3A,Gas,MEM+gasfurnace+slab+1990_para00036Table.csv,65194.04,21016.34,6178.32,19101.85,6157.8,1810.24776,65333.72,20771.59,6127.2,19142.78,6086.1,1795.2696,1.1,0.85,0.214252714,-1.164570044,-0.827409393
1,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00001Table.csv,41073.86,10018.24,2624.05,12034.64,2935.3,768.84665,40631.17,10308.38,2676.33,11904.93,3020.4,784.16469,0.1,0.1,-1.077790108,2.896117482,1.992340085
2,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00002Table.csv,38023.22,11904.27,3068.63,11140.8,3488,899.10859,37677.14,12232.71,3136.54,11039.4,3584.2,919.00622,0.1,0.25,-0.910180674,2.759010002,2.213039695
3,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00003Table.csv,36161.37,13298.19,3433.57,10595.28,3896.4,1006.03601,35379.78,14181.66,3613.75,10366.28,4155.2,1058.82875,0.1,0.4,-2.161394881,6.643535699,5.247599437
4,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00004Table.csv,34267.28,15150.02,3904.85,10040.31,4439,1144.12105,33537.32,16232.68,4136.78,9826.43,4756.2,1212.07654,0.1,0.55,-2.130195335,7.146261193,5.93953673
5,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00005Table.csv,32430.07,17665.31,4523.89,9502.01,5175.9,1325.49977,32124.46,18288.82,4667.36,9412.47,5358.6,1367.53648,0.1,0.7,-0.942366144,3.529572931,3.171385688
6,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00006Table.csv,30920.91,20587.67,5254.2,9059.83,6032.2,1539.4806,31002.16,20347.68,5197.59,9083.63,5961.9,1522.89387,0.1,0.85,0.26276717,-1.165697721,-1.077423775
7,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00007Table.csv,47458.08,9914.59,2713.84,13905.22,2905,795.15512,46946.05,10224.29,2772.2,13755.19,2995.7,812.2546,0.3,0.1,-1.078910061,3.123679345,2.150458391
8,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00008Table.csv,44149.04,11781.83,3169.81,12935.67,3452.1,928.75433,43759.44,12127,3242.86,12821.52,3553.2,950.15798,0.3,0.25,-0.882465394,2.929680703,2.304554532
9,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00009Table.csv,42175.71,13117.29,3531.9,12357.48,3843.4,1034.8467,41280.87,14005.49,3715.2,12095.29,4103.6,1088.5536,0.3,0.4,-2.121695165,6.771215701,5.189841162
10,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00010Table.csv,40031.68,14943.31,3997.48,11729.28,4378.4,1171.26164,39264.23,15911.13,4211.9,11504.42,4662,1234.0867,0.3,0.55,-1.917106652,6.476610604,5.363879244
11,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00011Table.csv,37962.71,17347.29,4603.07,11123.07,5082.8,1348.69951,37660.87,17875.09,4726.06,11034.63,5237.4,1384.73558,0.3,0.7,-0.79509603,3.042550162,2.671912441
12,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00012Table.csv,36249.47,20171.21,5317.61,10621.09,5910.2,1558.05973,36370.7,19870.96,5246.37,10656.62,5822.2,1537.18641,0.3,0.85,0.334432476,-1.48850763,-1.339699602
13,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00013Table.csv,52927.59,9903.7,2800.55,15507.78,2901.8,820.56115,52405.95,10191,2856.05,15354.94,2986,836.82265,0.5,0.1,-0.985572931,2.900936014,1.981753584
14,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00014Table.csv,49446.95,11747.49,3263.82,14487.96,3442,956.29926,49074.15,12048.2,3329.49,14378.73,3530.1,975.54057,0.5,0.25,-0.753939323,2.559780855,2.012059489
15,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00015Table.csv,47381.7,13031.81,3625.66,13882.84,3818.3,1062.31838,46477.85,13855.73,3799.27,13618.01,4059.7,1113.18611,0.5,0.4,-1.907593016,6.322375787,4.788369566
16,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00016Table.csv,45040.86,14873.48,4101.15,13196.97,4357.9,1201.63695,44301.95,15705.22,4287.54,12980.47,4601.6,1256.24922,0.5,0.55,-1.640532619,5.59210084,4.544822794
17,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00017Table.csv,42798.7,17218.55,4692.54,12540.02,5045,1374.91422,42546.77,17606.56,4784.14,12466.2,5158.7,1401.75302,0.5,0.7,-0.588639375,2.253441782,1.952034506
18,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00018Table.csv,40955.42,19882.97,5382.63,11999.94,5825.7,1577.11059,41126.69,19530.32,5298.1,12050.12,5722.4,1552.3433,0.5,0.85,0.418186409,-1.773628387,-1.570421894
19,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00019Table.csv,57580.68,9968.55,2896.03,16871.14,2920.8,848.53679,57053.78,10257.06,2953.44,16716.76,3005.3,865.35792,0.7,0.1,-0.915063872,2.894202266,1.982368967
20,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00020Table.csv,53703.5,11978.38,3408.65,15735.13,3509.7,998.73445,53401.78,12226.51,3465.41,15646.72,3582.4,1015.36513,0.7,0.25,-0.561825579,2.07148212,1.665175363
21,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00021Table.csv,51272.73,13494.32,3826.58,15022.91,3953.8,1121.18794,50637.26,14093.29,3962.68,14836.72,4129.3,1161.06524,0.7,0.4,-1.239391778,4.438682349,3.556700762
22,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00022Table.csv,48884.81,15359.37,4317.78,14323.25,4500.3,1265.10954,48442.88,15889.08,4435.96,14193.76,4655.5,1299.73628,0.7,0.55,-0.904023152,3.448774266,2.73705469
23,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00023Table.csv,46851.25,17434.43,4856.07,13727.42,5108.3,1422.82851,46643.85,17727.77,4926.95,13666.65,5194.2,1443.59635,0.7,0.7,-0.442677623,1.682532781,1.459616521
24,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00024Table.csv,45079.31,19799.68,5476.72,13208.24,5801.3,1604.67896,45207.77,19549.1,5416.77,13245.88,5727.9,1587.11361,0.7,0.85,0.284964433,-1.265576009,-1.094633284
25,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00025Table.csv,61702.75,10032.68,2977.23,18078.91,2939.6,872.32839,61185.51,10321.39,3036.53,17927.35,3024.2,889.70329,0.9,0.1,-0.838277062,2.87769569,1.99178431
26,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00026Table.csv,57397.12,12255.05,3561.61,16817.36,3590.7,1043.55173,57219.81,12397.26,3594.67,16765.4,3632.4,1053.23831,0.9,0.25,-0.308917939,1.160419582,0.928231895
27,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00027Table.csv,54669.78,13968.77,4025.1,16018.25,4092.8,1179.3543,54290.98,14345.99,4115.35,15907.26,4203.4,1205.79755,0.9,0.4,-0.692887368,2.700452509,2.242180319
28,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00028Table.csv,52180.77,16006.97,4565.19,15288.97,4690,1337.60067,52079.02,16128.25,4594.03,15259.15,4725.6,1346.05079,0.9,0.55,-0.194995206,0.75766994,0.631737124
29,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00029Table.csv,50385.77,17736.19,5027.58,14763.03,5196.7,1473.08094,50274.45,17868.93,5060.91,14730.41,5235.6,1482.84663,0.9,0.7,-0.220935395,0.748413273,0.662943205
30,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00030Table.csv,48790.31,19732.67,5550.81,14295.56,5781.7,1626.38733,48859.04,19576.83,5520.93,14315.7,5736,1617.63249,0.9,0.85,0.140868135,-0.789756277,-0.538299816
31,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00031Table.csv,64053.52,10104.26,3035.36,18767.68,2960.5,889.36048,63561.31,10369.06,3091.22,18623.46,3038.1,905.72746,1.1,0.1,-0.768435521,2.620676823,1.840308893
32,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00032Table.csv,59600.17,12398.19,3647.53,17462.85,3632.7,1068.72629,59478.45,12492.32,3669.52,17427.19,3660.2,1075.16936,1.1,0.25,-0.204227605,0.759223725,0.602873726
33,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00033Table.csv,56747.07,14211.11,4140.11,16626.89,4163.9,1213.05223,56509.8,14439.14,4195.27,16557.37,4230.7,1229.21411,1.1,0.4,-0.418118504,1.604589649,1.33233175
